# part_number, description, eprom_sku, longtech_sku, asi_sku, allway_sku, tigerdirect_sku, memex_sku, ncix_sku, wtcr_sku, category_id, nid, autoupdate
'120-G2-1300-XR', 'EVGA SuperNova 1300 G2 Fully Modular 1300W ATX', '', '', '141845', '', 'E145-1300G2', 'MX48291', '', 'PWR-ES13G-01', '30', '20387', '1'
'19EN33T-B', '\"LG 19EN33T-B 19\"\" 16:9 LCD Monitor\"', '', '', '', '', '', '', '', 'MON-L19EN-01', '16', '938', '1'
'21234-00-40G', 'Sapphire Radeon R9 295X2 8GB GDDR5', 'VC-SA-21234-00-40G', '', '', '', 'RLH-102391118', '', '', 'VID-S295X-01', '85', '1191', '1'
'24M45H-B', '\"LG 24M45H-B 24\"\" LED Monitor\"', 'MT-LG-24M45H-B', '', '', '', '', 'MX50915', '', 'MON-L24M4-01', '16', '923', '1'
'380-EN-00', 'Non-contact Infrared Digital Thermometer', '', '', '', '285804', '', '', '', 'ACT-IRTEM-01', '166', '1168', '1'
'79G-03550', 'Office 2013 Home And Student Edition OEM Key Only', 'SW-MS-OFF-13-H&S-E', 'SW-MS-OFFICE-2013-HS-PKC', '', '', '', 'MX43713', '', 'SOF-MOHS3-01', '127', '20392', '1'
'90-MIBJ60-G0AAY0GZ', 'Asus P8H61-M LE/CSM R2.0 mATX LGA1155', 'MB-ASU-P8H61-M-LE', '', '', '', '', '', '', 'MBD-AP8H6-01', '85', NULL, '1'
'90-MXGNZ0-A0UAYZ', 'Asrock H61-VG3 mATX LGA1155', 'MB-ASR-H61M-VG3', '', '', '', '', '', '', 'MBD-KH61M-02', '85', '1310', '1'
'90-MXGSP0-A0UAYZ', 'ASRock H81 Pro BTC ATX LGA1150', 'MB-ASR-H81-PRO-BTC', '', '', '', '', '', '', 'MBD-KH81P-01', '85', '1124', '1'
'90MB0E00-M0AAY0', 'Asus Z87-PLUS ATX LGA1150', 'MB-ASU-Z87-PLUS', '', '', '', '', 'MX45853', '', 'MBD-AZ87P-01', '85', '950', '1'
'90MB0E10-M0AAY0', 'Asus Maximus VI Gene Z87 mATX LGA1150', '', '', '138086', '', '', 'MX45845', '', 'MBD-AMGEN-01', '85', '20389', '1'
'90MB0F10-M0AAY0', 'Asus H87M-PLUS/CSM mATX LGA1150', 'MB-ASU-H87M+', '', '138103', '', '', 'MX45859', '', 'MBD-AH87P-01', '85', '1149', '1'
'90MB0F50-M0AAY0', 'Asus H87M-E mATX LGA1150', 'MB-ASU-H87M-E', '', '', '', '', 'MX45860', '', 'MBD-AH87E-01', '85', '1150', '1'
'90MB0F60-M0AAY0', 'Asus B85M-E/CSM mATX LGA1150', 'MB-ASU-B85M-E/CSM', '', '', '', '', 'MX45863', '', 'MBD-AB85M-01', '85', '20390', '1'
'90MB0GH0-M0AAY0', 'Asus H81M-E mATX LGA1150', 'MB-ASU-H81M-E', '', '141692', '', '', 'MX47971', '', 'MBD-AH81E-01', '85', '1155', '1'
'90MB0GT0-M0AAY0', 'Asus H81M-C/CSM mATX LGA1150', 'MB-ASU-H81M-C-CSM', '', '141684', '', '', 'MX47889', '', 'MBD-AH81C-01', '85', '1112', '1'
'910-002332', 'Logitech', 'MO-LOG-910002974', '', '', '', 'L23-8300', 'MX47335', '', 'MOU-LM325-01', '50', '1317', '1'
'910-002582', 'Logitech', '', 'MICE-WLESS-LOGI-M525-BLACK', '', '', 'L23-8301', 'MX50290', '', 'MOU-LM525-01', '50', NULL, '1'
'910-002777', 'Logitech', '', 'MICE-WLESS-LOGI-M175-BLACK', '', '', '', '', '', 'MOU-LM175-01', '50', NULL, '1'
'920-002565', 'Logitech', 'KB-LOG-C-920002565', '', '', '', 'L23-0083', 'MX30139', '', 'KBD-LMK12-01', '50', '673', '1'
'920-002841', 'Logitech', 'KB-LOG-C-920002836', '', '', '', 'L23-8134', 'MX31030', '', 'KBD-LMK32-01', '50', '903', '1'
'980-000058', 'Logitech LS21 2.1 Speakers', 'MU-SUB-L-980000058', '', '', '', '', 'MX22523', '', 'SPK-LLS21-01', '33', NULL, '1'
'980-000354', 'Logitech Z323 2.1 Speakers', 'MU-SUB-LOG-Z323', '', '', '', '', 'MX28223', '', 'SPK-LZ323-01', '33', NULL, '1'
'980-000402', 'Logitech Z623 2.1 Speakers', 'MU-SUB-LOG-Z623', '', '', '', '', 'MX30627', '', 'SPK-LZ623-01', '33', NULL, '1'
'Acc-Calculator', 'Some Test calculator', '', ' Acc-Calculator', '', '', '', '', '', 'WTCR-CALCULATOR-1', '91', '20404', '1'
'AD-DP-HDMI', '', 'AD-DP-HDMI', '', '', '', '', '', '', '', '38', NULL, '1'
'AD-DP-VGA', 'Display Port to VGA Adapter (Test)', 'AD-DP-VGA', '', '', '', '', '', '', 'WTCR-DP-VGA', '56', NULL, '1'
'AG13-10CS', 'AG13 Test Product', '', ' ACC-BAT-AG13-10CS', '', '', '', '', '', 'AG13-10CS', '28', '20401', '1'
'ASUS-1B16-CB', 'Google Nexus 7 (by Asus) 16GB 1B16-CB', '', '', '', '', '', '', '', 'TAB-AN7CB-01', '191', '1140', '1'
'ASUS-1B32-4G-CB', 'Google Nexus 7C (by Asus) 32GB 1B32-4G', '', '', '', '', '', 'MX43174', '', 'TAB-AN74G-01', '191', '1114', '1'
'ATV520E', '\"MyGica ATV520E Media Center (Android 4.1', 'CE-MYGICA-ATV520E', '', '', '', '', '', '', 'PMP-MY520-01', '139', '20408', '1'
'AZT-BRAVURA', 'Auzentech Sound Card AZT-BRAVURA', '', '', '100101', '', '', '', '', 'VID-AZT-BRAVURA', '140', '20403', '1'
'BAT-AG10-10CS', 'Some Test Battery', '', ' ACC-BAT-AG10-10CS', '', '', '', '', '', 'BAT-AG10-10CS', '38', '20400', '1'
'BX80633I74820K', 'Intel Core i7-4820K Quad Core 3.7GHz noHSF LGA2011', 'CP-I-i7-4820K', '', '', '', '', 'MX47851', '', 'CPU-I7482-01', '54', NULL, '1'
'BX80637I33240', 'Intel Core i3-3240 Dual Core 3.4GHz LGA1155', 'CP-I-i3-3240', '', '', '', '', '', '', 'CPU-I3324-01', '54', '941', '1'
'BX80637I53470', 'Intel Core i5-3470 Quad Core 3.2GHz LGA1155', 'CP-I-i5-3470', '', '', '', '', '', '', 'CPU-I5347-01', '54', NULL, '1'
'BX80646I34130', 'Intel Core i3-4130 Dual Core 3.4GHz LGA1150', 'CP-I-i3-4130', '', '', '', '', 'MX47968', '', 'CPU-I3413-01', '54', '1143', '1'
'BX80646I34150', 'Intel Core i3-4150 Dual Core 3.5GHz LGA1150', 'CP-I-i3-4150', 'CPU-INTEL-I3-4150', '', '', '', 'MX52079', '', 'CPU-I3415-01', '54', NULL, '1'
'BX80646I54440', 'Intel Core i5-4440 Quad Core 3.1GHz LGA1150', 'CP-I-i5-4440', 'CPU-INTEL-I5-4440', '', '', '', 'MX47967', '', 'CPU-I5444-01', '54', '1255', '1'
'BX80646I74770', 'Intel Core i7-4770 Quad Core 3.4GHz LGA1150', 'CP-I-i7-4770', '', '', '', '', 'MX45427', '', 'CPU-I7477-01', '54', '946', '1'
'BX80646I74770K', 'Intel Core i7-4770K Quad Core 3.5GHz LGA1150', 'CP-I-i7-4770K', '', '', '', '', 'MX45426', '', 'CPU-I7477-02', '54', '947', '1'
'BX80646I74790', 'Intel Core i7-4790 Quad Core 3.6GHz LGA1150', 'CP-I-i7-4790', '', '', '', '', 'MX52060', '', 'CPU-I7479-01', '54', NULL, '1'
'BX80646I74790K', 'Intel Core i7-4790K Quad Core 4.0GHz LGA1150', 'CP-I-i7-4790K', '', '', '', '', 'MX52609', '', 'CPU-I7479-02', '54', NULL, '1'
'BXRTS2011AC', 'Intel RTS2011AC CPU Cooler', 'HF-INT-BXRTS2011AC', '', '', '', 'YYS2-4811018', 'MX36956', '', 'HSF-I2011-01', '55', '1291', '1'
'CA-1A4-00M1WN-00', 'Thermaltake Urban T21 Mid Tower ATX Case', 'CS-TT-CA1A400M1WN', '', '', '', '', 'MX51046', '', 'CAS-TUT21-01', '85', '1232', '1'
'CA-1A9-00S1NN-00', 'Thermaltake Urban SD1 mATX Case', 'CS-TT-CA1A900S1NN', '', '', '', 'JHE-102324008', 'MX51045', '', 'CAS-TUSD1-01', '85', '1231', '1'
'CA-1B7-00F1WN-00', 'Thermaltake Urban T81 Full Tower ATX Case', 'CS-TT-CA1B700F1WN', '', '', '', 'JHE-102324018', 'MX51041', '', 'CAS-TUT81-01', '85', '1233', '1'
'CB-IS100', 'Vantec IDE to SATA Converter CB-IS100', 'AD-VT-CB-IS100', '', '65520', '', '', '', '', 'HDA-VIS10-01', '85', '1180', '1'
'CBL-MDDVI', 'Vantec Mini DisplayPort to DVI Adapter', 'AD-VT-CBL-MDDVI', '', '', '', 'S262-4223', 'MX44907', '', 'ADA-M0002-01', '38', '394', '1'
'CBL-MDHDMI', 'Vantec Mini DisplayPort to HDMI Adapter', 'AD-VT-CBL-MDHDMI', '', '', '', 'S262-3004', 'MX44908', '', 'ADA-M0001-01', '38', '393', '1'
'CC-9011014-WW', 'Corsair Carbide 300R ATX w/ Solid Panel', '', '', '', '', 'C13-6300', 'MX37031', '', 'CAS-CC300-01', '85', '1221', '1'
