# part_number, description, eprom_sku, longtech_sku, asi_sku, allway_sku, tigerdirect_sku, memex_sku, ncix_sku, wtcr_sku, category_id, nid, autoupdate
'GV-N750OC-1GI', 'Gigabyte GeForce GTX 750 OC 1GB GDDR5', 'VC-GV-N750OC-1GI', '', '', '', 'GGG-102335329', 'MX50786', '', 'VID-G7501-01', '85', '1170', '1'
'GV-N75TOC-2GI', 'Gigabyte GeForce GTX 750 Ti OC 2GB GDDR5', 'VC-GV-N75TOC-2GI', '', '', '', 'GGG-102519163', 'MX50785', '', 'VID-G7502-01', '85', '1171', '1'
'GV-N760OC-2GD', 'Gigabyte GeForce GTX 760 OC Windforce 3X 2GB GDDR5', 'VC-GV-N760OC-2GD', '', '', '', '', 'MX47267', '', 'VID-GN76W-02', '85', '1382', '1'
'GV-N760OC-4GD', 'Gigabyte GeForce GTX 760 OC Windforce 3X 4GB GDDR5', 'VC-GV-N760OC-4GD', '', '', '', 'GIE-300630014', '', '', 'VID-GN76W-01', '85', '1085', '1'
'GV-N770OC-2GD', 'Gigabyte GeForce GTX 770 OC Windforce 3X 2GB GDDR5', 'VC-GV-N770OC-2GD', '', '', '', '', 'MX45835', '', 'VID-GN77W-20', '85', '1084', '1'
'GV-N770OC-4GD', 'Gigabyte GeForce GTX 770 OC Windforce 3X 4GB GDDR5', 'VC-GV-N770OC-4GD', '', '', '', 'GGG-102116166', 'MX45834', '', 'VID-GN77W-01', '85', '1083', '1'
'GV-N780OC-3GD', 'Gigabyte GeForce GTX 780 OC Windforce 3X 3GB GDDR5', 'VC-GV-N780OC-3GDR2', '', '', '', '', 'MX47390', '', 'VID-GN78W-01', '85', '1082', '1'
'GV-R724OC-2GI', 'Gigabyte Radeon R7 240 2GB GDDR3', 'VC-GV-R724OC-2GI', '', '', '', 'GGG-102025690', '', '', 'VID-GR724-01', '85', '1182', '1'
'GV-R726XOC-1GC', 'Gigabyte Radeon R7 260X 1GB GDDR5', '', '', '', '', 'GGG-102519165', '', '', 'VID-GR726-01', '85', '1141', '1'
'GV-R928XOC-3GD', 'Gigabyte Radeon R9 280X OC WindForce 3X 3GB GDDR5', 'VC-GV-R928XOC-3GD', '', '', '', 'GGG-102231728', 'MX49875', '', 'VID-GR928-01', '85', '1132', '1'
'H2W16AA#ABC', 'HP', '', 'MICE-WLESS-HP-X4500-H2W16AA#ABC', '', '', 'FNY-102232650', '', '', 'MOU-HX450-01', '50', NULL, '1'
'HD-545X-ZQH2', 'XFX Radeon HD 5450 1GB GDDR3 FANLESS', '', '', '', '', 'P450-5459', '', '', 'VID-X5450-01', '85', '1130', '1'
'KB-CHP001US', 'ThermalTake', 'KB-TT-CHP001US', '', '', '', 'T925-2442', 'MX31495', '', 'KBD-TCHP0-01', '50', '1300', '1'
'KB-KNK008US', 'ThermalTake', 'KB-TT-KNK008US', '', '', '', 'T925-1408', 'MX44355', '', 'KBD-TKNK0-01', '50', '1301', '1'
'KVR1333D3N9/8G', 'Kingston KVR13N9/8G 8GB DDR3-1333 CL9', 'RM-K-D3-1333-8G', '', '', '', 'YYI2-36571T', 'MX40992', '', 'RAM-D1338-01', '50', '991', '1'
'KVR1333D3S9/8G', 'Kingston KVR1333D3S9/8G 8GB', 'RM-SOD-8G-PC3-1333', '', '', '', 'KIO-102370123', 'MX40535', '', 'RAM-L1338-01', '50', '936', '1'
'KVR13N9S8/4', 'Kingston KVR13N9S8/4G 4GB DDR3-1333 CL9', 'RM-K-D3-1333-4G', '', '', '', 'K24-8910', 'MX31013', '', 'RAM-D1334-01', '50', '502', '1'
'KVR13S9S8/4G', 'Kingston KVR13S9S8/4G 4GB', 'RM-SOD-4G-PC3-1333', '', '', '', 'K24-8909', 'MX50530', '', 'RAM-L1334-01', '50', '323', '1'
'ME302C-A1-BL', 'ASUS Memo Pad HD 10', '', '', '', '', '', '', '', 'TAB-A110V-01', '191', '1036', '1'
'MK808B', '\"Mini TV Android 4.1 Media Player (Dual-core A9', 'CE-MT-MK808', '', '', '', '', '', '', 'PMP-MK808-01', '139', '1165', '1'
'MO-BLK002DT', 'ThermalTake', 'MO-TT-BLK002DT', '', '', '', '', 'MX31498', '', 'MOU-TBLKB-01', '50', '1318', '1'
'MO-LTM009DT', 'ThermalTake', 'MO-TT-LTM009DT', '', '', '', '', '', '', 'MOU-TLV10-01', '50', '1319', '1'
'MO-TRN006DT', 'ThermalTake', 'MO-TT-TRN006DT', '', '', '', 'T925-1412', 'MX39154', '', 'MOU-TTHRN-01', '50', '1320', '1'
'MRK-425ST-BK', '\"Vantec EZ Swap F4 4 x 2.5\"\" to 5.25\"\" Hard Drive Dock\"', 'MR-HD-VT-425ST-BK', '', '', '', 'V13-7022', 'MX44912', '', 'HDA-V425S-01', '85', '1108', '1'
'MZ-7TE250', 'Samsung 840 EVO 250GB SSD SATA3', 'SD-MZ-7TE250BW', '', '', '', '', 'MX47587', '', 'SSD-S8250-01', '127', '1044', '1'
'NINE HUNDRED', 'Antec Nine Hundred Mid Tower ATX Case', 'CS-ANT-NINEHUNDRED', '', '52553', '', 'YYS2-4205903', '', '', 'CAS-ANINE-01', '85', '1217', '1'
'NST-600NU', 'Vantec Nexstar FX Gigabit NAS Adapter', 'AD-VT-NST-600NU', '', '', '', '', '', '', 'HDA-V600N-01', '85', '1174', '1'
'NST-D306WS3', 'Vantec NexStar WiFi Hard Drive Dock w/ USB 2.0/3.0', 'EE-HD-VT-D306WS3', '', '', '', 'V13-1308', 'MX44917', '', 'HDA-VD306-01', '85', '1169', '1'
'ONE', 'Antec One ATX Case', 'CS-ANT-ONE', '', '119529', '', '', 'MX37673', '', 'CAS-ANONE-01', '90', '20395', '1'
'P183V3', 'Antec P183V3 Mid Tower ATX Case', 'CS-ANT-P183V3', '', '', '', 'YYI2-98428N', '', '', 'CAS-AP183-01', '90', '20406', '1'
'PRS-T1-RED', 'Sony eReader (RED)', '', 'Acc-Ele-eReader-Sony-PRS-T1-RED', '', '', '', '', '', 'WTCR-READER-1', '56', '20402', '1'
'PST-03', 'Apevia LCD Power Supply Tester', 'PS-A-PST-03', '', '', '', '', 'MX21793', '', 'ACT-CPSUT-01', '166', '718', '1'
'PTGMCXXALU-US', '\"Pivos XIOS XS Media Center (TOFU Media OS', 'CE-PV-XIOS-TOFU', '', '', '', '', '', '', 'PMP-PVXXS-01', '139', NULL, '1'
'R-BOX', 'RockMiner R-Box 37 GH/s Bitcoin ASIC Miner', '', '', '', '', '', '', '', 'BM-RMRB1-01', '190', '20396', '0'
'R3-BOX', 'RockMiner R3-Box 450 GH/s Bitcoin ASIC Miner', '', '', '', '', '', '', '', 'BM-RMR31-01', '190', '20397', '0'
'R4-BOX', 'RockMiner R4-Box 450 GH/s Bitcoin ASIC Miner', '', '', '', '', '', '', '', 'BM-RMR41-01', '190', '20398', '0'
'R9270-DC2OC-2GD5', 'Asus Radeon R9 270 Direct CU II 2GB GDDR5', 'VC-ASU-R9270-DC2OC', '', '145379', '', '', 'MX50651', '', 'VID-AR927-03', '85', '1378', '1'
'R9270X-DC2T-2GD5', 'Asus Radeon R9 270X Direct CU II 2GB GDDR5', '', '', '143527', '', 'AS0-102030269', 'MX48765', '', 'VID-AR927-02', '85', '1377', '1'
'R9270X-DC2T-4GD5', 'Asus Radeon R9 270X Direct CU II 4GB GDDR5', '', '', '150501', '', 'OSU-102344342', 'MX51572', '', 'VID-AR927-01', '85', '1376', '1'
'R9280-DC2T-3GD5', 'Asus Radeon R9 280 Direct CU II 3GB GDDR5', '', '', '150744', '', 'OSU-102348332', 'MX51574', '', 'VID-AR928-01', '85', '1379', '1'
'R9290-4GD5', 'Asus Radeon R9 290 4GB GDDR5', '', '', '', '', '', '', '', 'VID-AR929-01', '85', '1113', '1'
'R9290X-DC2OC-4GD5', 'Asus Radeon R9 290X Direct CU II 4GB GDDR5', '', '', '147979', '', 'OSU-102314673', 'MX50062', '', 'VID-AR929-02', '85', '1380', '1'
'RC-110-KKN2', 'Cooler Master Elite 110 miniITX Case', 'CS-CM-RC-110-KKN2', '', '', '', 'JOO-102235127', 'MX50343', '', 'CAS-CE110-01', '85', '1224', '1'
'RC-1200-KKN1', 'Cooler Master Cosmos II Ultra Tower XL-ATX Case', 'CS-CM-RC-1200-KKN1', '', '', '', 'C283-7010', 'MX37477', '', 'CAS-CCSII-01', '85', '1222', '1'
'RC-130-KKN1', 'Cooler Master Elite 130 miniITX Case', 'CS-CM-RC-130-KKN1', '', '', '', 'JOO-102297517', '', '', 'CAS-CE130-01', '85', '1225', '1'
'RC-250-KKR420-HD', 'Cooler Master C+P 250 ATX Case w/ 420W PSU', 'CS-CM-RC-250KKR420', '', '', '', '', '', '', 'CAS-CM250-01', '85', '1227', '1'
'RC-343-KKN1', 'Cooler Master Elite 343 mATX Case', 'CS-CM-RC-343-KKN1', '', '', '', 'C283-2065', '', '', 'CAS-CE343-01', '85', '1226', '1'
'RK-BOX', 'RockMiner RK-Box 450 GH/s Bitcoin ASIC Miner', '', '', '', '', '', '', '', 'BM-RMRK1-01', '190', '20407', '0'
'RS-400-PSAR', 'Cooler Master RS400-PSAR 400W', 'PS-CM-RS-400-PSAR', 'PS-CM-400W', '', '', '', '', '', 'PWR-CM400-01', '30', '997', '1'
'RS-A00-SPM2', 'Cooler Master Silent Pro M2 1000W', 'PS-CM-RS-A00-SPM2', '', '', '', '', '', '', 'PWR-CM210-01', '30', '1126', '1'
'RV180W', 'Cisco Small Business RV180W Wireless Router', '', '', '', '', '', 'MX43048', '', 'RTR-C120W-01', '85', '1051', '1'
'RZ01-00152400-R3M1', 'Razer', '', '', '', '', '', '', '', 'MOU-RDABE-01', '50', '678', '1'
'S-120', 'Logitech S120 2.0 Speakers', 'MU-SPK-LOG-S120-BK', '', '62312', '', '', 'MX19568', '', 'SPK-LS120-01', '33', '385', '1'
'S24A460B', '\"Samsung S24A460B 24\"\" Business Class LED Monitor\"', '', '', '', '', '', '', '', 'MON-S24A4-01', '16', '1187', '1'
'S27C350H', '\"Samsung S27C350H 27\"\" Widescreen LCD\"', '', '', '', '', '', 'MX46187', '', 'MON-S27C3-01', '16', '1173', '1'
'SDC10/16GB', 'Kingston 16GB Micro SDHC Class 10 Memory Card', 'MM-KIN-SDC10-16GB', '', '', '', 'K24-1116', 'MX40282', '', 'MEM-SD016-01', '50', '390', '1'
'SDC10/32GB', 'Kingston 32GB Micro SDHC Class 10 Memory Card', 'MM-KIN-SDC10-32GB', '', '', '', 'K24-8821', 'MX41918', '', 'MEM-SD032-01', '50', '391', '1'
